127.0.0.1 - [29 Jul 22 18:59 +07] GET / 200 19.5735ms 
[GIN] 2022/07/29 - 18:59:53 | 200 |      1.9987ms |       127.0.0.1 | GET      "/static/plugins/bootstrap/js/bootstrap.bundle.min.js.map"
[GIN] 2022/07/29 - 18:59:53 | 200 |      1.9999ms |       127.0.0.1 | GET      "/static/dist/js/adminlte.js.map"
127.0.0.1 - [29 Jul 22 19:00 +07] GET / 200 2.0004ms 
[GIN] 2022/07/29 - 19:00:00 | 200 |    114.4664ms |       127.0.0.1 | GET      "/"
[GIN] 2022/07/29 - 19:00:00 | 200 |      5.9987ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css"
[GIN] 2022/07/29 - 19:00:00 | 200 |            0s |       127.0.0.1 | GET      "/static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css"
[GIN] 2022/07/29 - 19:00:00 | 200 |            0s |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/css/all.min.css"
[GIN] 2022/07/29 - 19:00:00 | 200 |            0s |       127.0.0.1 | GET      "/static/dist/css/mystyle.css"
[GIN] 2022/07/29 - 19:00:00 | 200 |      4.0029ms |       127.0.0.1 | GET      "/static/plugins/jquery/jquery.min.js"
[GIN] 2022/07/29 - 19:00:00 | 200 |      1.9975ms |       127.0.0.1 | GET      "/static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js"
[GIN] 2022/07/29 - 19:00:00 | 200 |      1.5276ms |       127.0.0.1 | GET      "/static/plugins/bootstrap/js/bootstrap.bundle.min.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |      6.0019ms |       127.0.0.1 | GET      "/static/plugins/raphael/raphael.min.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |      2.0013ms |       127.0.0.1 | GET      "/static/plugins/jquery-mousewheel/jquery.mousewheel.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |      5.5296ms |       127.0.0.1 | GET      "/static/dist/js/adminlte.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |      1.0009ms |       127.0.0.1 | GET      "/static/plugins/jquery-mapael/jquery.mapael.min.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |      1.0003ms |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2"
[GIN] 2022/07/29 - 19:00:01 | 200 |      1.0008ms |       127.0.0.1 | GET      "/static/dist/img/profile.svg"
[GIN] 2022/07/29 - 19:00:01 | 200 |      1.0026ms |       127.0.0.1 | GET      "/static/plugins/jquery-mapael/maps/usa_states.min.js"
[GIN] 2022/07/29 - 19:00:01 | 200 |            0s |       127.0.0.1 | GET      "/static/dist/img/AdminLTELogo.png"
[GIN] 2022/07/29 - 19:00:01 | 200 |     54.0234ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css.map"
[GIN] 2022/07/29 - 19:00:01 | 200 |     20.0003ms |       127.0.0.1 | GET      "/static/plugins/bootstrap/js/bootstrap.bundle.min.js.map"
[GIN] 2022/07/29 - 19:00:02 | 200 |      1.0004ms |       127.0.0.1 | GET      "/static/dist/js/adminlte.js.map"
127.0.0.1 - [29 Jul 22 19:00 +07] GET / 200 0s 
[GIN] 2022/07/29 - 19:00:05 | 200 |     66.2862ms |       127.0.0.1 | GET      "/"
[GIN] 2022/07/29 - 19:00:05 | 200 |       999.3µs |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/css/all.min.css"
[GIN] 2022/07/29 - 19:00:05 | 200 |      7.0006ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css"
[GIN] 2022/07/29 - 19:00:05 | 200 |            0s |       127.0.0.1 | GET      "/static/js/login.js"
[GIN] 2022/07/29 - 19:00:05 | 200 |      2.0035ms |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2"
[GIN] 2022/07/29 - 19:00:06 | 200 |     51.1347ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css.map"
127.0.0.1 - [29 Jul 22 19:00 +07] POST /login 200 6.4923ms 
[GIN] 2022/07/29 - 19:00:14 | 200 |      9.3315ms |       127.0.0.1 | POST     "/login"
127.0.0.1 - [29 Jul 22 19:00 +07] GET / 200 2.6768ms 
[GIN] 2022/07/29 - 19:00:14 | 200 |      4.8105ms |       127.0.0.1 | GET      "/"
